Issue Type,Issue key,Issue id,Summary,Custom field (Variant),Assignee,Due Date,Labels,Labels,Labels,Status,Reporter
Task,DEIPCNBS20-1096,1465751,[MI200] DV strap diff review for bigapu,MI200,geochen,27/Dec/19 12:00 AM,,,,Opened,geochen
Task,DEIPCNBS20-1095,1465743,DV review register diff between mi200， mi100 and Mero.,MI200,geochen,14/Dec/20 12:00 AM,,,,Opened,geochen
Defect,DEIPCNBS20-1093,1333873,[MI200]HDP Change  requirment to NBIF/SHUB,MI200,pfli,,,,,Implemented,buhengxu
Defect,DEIPCNBS20-1088,1459005,[NBIF][MI200][SDP vwire] nbif->pcie sdp virtual wire is useless,MI200,lweng,25/Nov/19 12:00 AM,,,,Closed,lweng
Defect,DEIPCNBS20-1086,1463311,"[MI200]APU Mode, Config BIF DEV0_EPF0 BASE_ADDR_1 Failed.",MI200,jyang4,,MI200_NBIO_SS,,,Closed,jyang4
Defect,DEIPCNBS20-1085,1463134,[mi200]BME_HDL_NONVOR_EN does not work,MI200,buhengxu,,,,,Implemented,wangr1
Defect,DEIPCNBS20-1079,1462139,[MI200] chained msg_d will break by virtual wire trans,MI200,siluo,,,,,Deferred,shiyan
Defect,DEIPCNBS20-1077,1461324,[Mi200] vc_1_dataerror_whole_chain error,MI200,buhengxu,,,,,Opened,dongyu
Defect,DEIPCNBS20-1076,1461320,[Mi200] VF hang protection fail,MI200,buhengxu,,,,,Deferred,jianw
Defect,DEIPCNBS20-1075,1461311,[Mi200] feature information needed be updated about hang protection,MI200,jianw,,,,,Closed,jianw
Defect,DEIPCNBS20-1074,1461222,HARCAM_ENABLE and entries are controlled by different reset,MI200,tingxie2,,,,,Opened,benpeng
Defect,DEIPCNBS20-1070,1460511,nBIF response user[19] indicate poison error.,MI200,pfli,,,,,Closed,benpeng
Defect,DEIPCNBS20-1061,1457923,[MI200] Enlarge outstanding tracker buffer,MI200,buhengxu,,,,,Implemented,shiyan
Defect,DEIPCNBS20-1060,1457906,[MI200]Console IOV DMA error rps AER log issue,MI200,siluo,,,,,Deferred,shiyan
Defect,DEIPCNBS20-1056,1456871,[Mi200] Signals connect error into Sram Leaf between INSECB and parity_err_det,MI200,jianw,,,,,Closed,jianw
Defect,DEIPCNBS20-1055,1454794,register RAS_ATHUB_ERR_EVENT_INTERRUPT_STATUS and ringbuffer/wptr trigger are inconsistent,MI200,siluo,29/Nov/19 12:00 AM,,,,Closed,bibliu1
Defect,DEIPCNBS20-1053,1452263,New flr exec registers should be added in GEN5,MI200,belchen,22/Nov/19 12:00 AM,,,,Closed,belchen
